Vocals, Drums, Claps, Zero-Crossing, Centroid, Roll Off, Flux
1,0,1,0.089960,0.060875,0.130624,0.092762
1,1,0,0.045860,0.041388,0.069344,0.100171
1,1,1,0.051629,0.036087,0.090793,0.098030
1,0,1,0.054823,0.047255,0.101953,0.097314
1,0,1,0.038945,0.030788,0.050729,0.093258
1,0,0,0.039716,0.031328,0.048432,0.096468
1,1,0,0.054537,0.043230,0.079014,0.097419
1,0,1,0.045432,0.033562,0.063242,0.092262
1,1,0,0.056230,0.051873,0.093705,0.106687
1,0,1,0.082933,0.073269,0.128788,0.104874
1,0,1,0.078257,0.068736,0.122950,0.101167
1,1,1,0.036411,0.027645,0.096630,0.106601
1,0,1,0.087267,0.077262,0.166066,0.100252
1,0,1,0.043213,0.038645,0.064827,0.098632
1,1,1,0.111815,0.094507,0.269253,0.090379
1,1,0,0.030461,0.025364,0.055676,0.108474
1,0,1,0.039125,0.030360,0.052247,0.093641
1,1,1,0.092159,0.073386,0.206177,0.100421
1,1,0,0.012600,0.009134,0.253316,0.126908
0,1,0,0.100922,0.092582,0.223146,0.080772
1,1,0,0.043441,0.035576,0.064868,0.097231
1,0,0,0.140892,0.123136,0.243500,0.106195
1,0,0,0.049171,0.040784,0.076337,0.104117
1,1,1,0.105239,0.113685,0.228533,0.079503
1,0,1,0.049458,0.041417,0.073874,0.098938
1,0,0,0.050475,0.040032,0.273215,0.109635
1,1,0,0.018179,0.013123,0.256367,0.119320
1,1,0,0.041990,0.031713,0.051832,0.097876
1,0,0,0.049100,0.040153,0.068466,0.095322
1,1,1,0.103873,0.099623,0.197747,0.079071
